Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
,,,,,,998,10,0.01002004008016032,2,8,998,4,0.004008016032064128,3,1
MinMax,61,184,114.5,47.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,8,4,998,1,0.001002004008016032,1,0
MinMax,61,192,118,51,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,2,15,998,2,0.002004008016032064,1,1
MinMax,61,181.5,111.5,45,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,10,2,998,1,0.001002004008016032,1,0
MinMax,61,190.5,114.5,46,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,2,9,998,1,0.001002004008016032,1,0
MinMax,61,185,113.5,46,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,6,3,998,3,0.003006012024048096,2,1
MinMax,61,192.5,114,45.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,2,10,998,0,0,0,0
MinMax,61,181,112.5,50,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,9,3,998,2,0.002004008016032064,1,1
MinMax,61,191,119.5,46.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,3,8,998,0,0,0,0
MinMax,61,189.5,108,50,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,19,0.01903807615230461,2,17,998,5,0.00501002004008016,5,0
MinMax,61,182,122.5,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,11,1,998,3,0.003006012024048096,0,3
MinMax,61,184,119.5,43,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,998,12,0.012024048096192385,8,4,998,1,0.001002004008016032,0,1
MinMax,61,187,115,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,16,0.01603206412825651,5,11,998,3,0.003006012024048096,2,1
MinMax,61,189,115.5,49,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,2,9,998,3,0.003006012024048096,2,1
MinMax,61,178,115,44.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,10,3,998,2,0.002004008016032064,2,0
MinMax,61,181.5,120.5,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,11,2,998,5,0.00501002004008016,1,4
MinMax,61,183,118,47.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,11,3,998,3,0.003006012024048096,1,2
MinMax,61,183,115.5,45.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,4,9,998,3,0.003006012024048096,3,0
MinMax,61,187,109,43,HFNL,142,3,0.02112676056338028,1,2,142,3,0.02112676056338028,2,1
